week_day,day,bicycle_flux,cargo_bicycle_flux,moped_flux,scooter_flux,id,bicycle_min,bicycle_max,bicycle_diff,cargo_bicycle_min,cargo_bicycle_max,cargo_bicycle_diff,moped_min,moped_max,moped_diff,scooter_min,scooter_max,scooter_diff,bicycle_avg,cargo_bicycle_avg,moped_avg,scooter_avg,nearest_train_station_name_walking,nearest_train_station_distance_walking,nearest_metro_station_name_walking,nearest_metro_station_distance_walking,nearest_train_station_name_bicycling,nearest_train_station_distance_bicycling,nearest_metro_station_name_bicycling,nearest_metro_station_distance_bicycling,nearest_train_station_name_driving,nearest_train_station_distance_driving,nearest_metro_station_name_driving,nearest_metro_station_distance_driving,nearest_train_station_name_transit,nearest_train_station_distance_transit,nearest_metro_station_name_transit,nearest_metro_station_distance_transit,population,highest_percentage_age,predicted_mean_disposable_household_income
sunday,0,1.0,2.0,38.0,0.0,Geuzenbuurt_0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,16.0,15.0,0.0,0.0,0.0,1.125,0.9166666666666666,9.041666666666666,0.0,Amsterdam Centraal Station,1516,Waterlooplein,121,Amsterdam Centraal Station,1504,Waterlooplein,138,Amsterdam Muiderpoort Station,2836,Waterlooplein,134,Amsterdam Lelylaan Station,3609,Waterlooplein,121.0,6625.0,27 - 65 years (%),44274.6
sunday,0,17.0,0.0,18.0,0.0,Geuzenveld_0,7.0,14.0,7.0,0.0,0.0,0.0,6.0,11.0,5.0,0.0,0.0,0.0,10.75,0.0,8.541666666666666,0.0,Amsterdam Sloterdijk Station,3561,Burg. De Vlugtlaan,2891,Amsterdam Sloterdijk Station,3643,Burg. De Vlugtlaan,2886,Amsterdam Sloterdijk Station,3894,Burg. De Vlugtlaan,3187,Amsterdam Sloterdijk Station,4517,Burg. De Vlugtlaan,3502.0,18959.0,27 - 65 years (%),39520.1
sunday,0,0.0,8.0,27.0,0.0,Grachtengordel-West_0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,10.0,9.0,0.0,0.0,0.0,0.0,0.875,5.166666666666667,0.0,Amsterdam Centraal Station,1131,Centraal Station,1131,Amsterdam Centraal Station,1342,Centraal Station,1342,Amsterdam Centraal Station,1475,Centraal Station,1475,Amsterdam Centraal Station,1826,Rokin,1191.0,6585.0,27 - 65 years (%),66560.2
sunday,0,0.0,0.0,51.0,0.0,Grachtengordel-Zuid_0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,17.0,10.0,0.0,0.0,0.0,0.0,0.0,10.958333333333334,0.0,Amsterdam Centraal Station,1675,Rokin,509,Amsterdam Centraal Station,2143,Rokin,509,Amsterdam Centraal Station,3060,Vijzelgracht,1319,Amsterdam Centraal Station,1947,Rokin,509.0,5865.0,27 - 65 years (%),70305.4
sunday,0,0.0,1.0,7.0,0.0,H-buurt_0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,5.0,3.0,0.0,0.0,0.0,0.0,0.4583333333333333,3.875,0.0,Amsterdam Centraal Station,1516,Waterlooplein,121,Amsterdam Centraal Station,1504,Waterlooplein,138,Amsterdam Muiderpoort Station,2836,Waterlooplein,134,Amsterdam Lelylaan Station,3609,Waterlooplein,121.0,7594.0,27 - 65 years (%),39520.1
sunday,0,0.0,5.0,43.0,0.0,Haarlemmerbuurt_0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,14.0,11.0,0.0,0.0,0.0,0.0,0.5416666666666666,6.916666666666667,0.0,Amsterdam Centraal Station,1301,Centraal Station,1301,Amsterdam Centraal Station,1397,Centraal Station,1397,Amsterdam Centraal Station,2207,Centraal Station,2207,Amsterdam Centraal Station,1980,Centraal Station,1980.0,9136.0,27 - 65 years (%),48978.1
sunday,0,0.0,0.0,0.0,0.0,Havens-West_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Amsterdam Centraal Station,1301,Centraal Station,1301,Amsterdam Sloterdijk Station,5517,Station Sloterdijk,5098,Amsterdam Sloterdijk Station,5428,Station Sloterdijk,5015,Amsterdam Sloterdijk Station,11295,Station Sloterdijk,11289.0,35.0,66 + years (%),39520.1
sunday,0,0.0,1.0,32.0,0.0,Helmersbuurt_0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,8.0,7.0,0.0,0.0,0.0,0.0,0.3333333333333333,3.875,0.0,Amsterdam Centraal Station,3147,Vijzelgracht,1697,Amsterdam Zuid Station,3318,Vijzelgracht,1977,Amsterdam Zuid Station,3306,Postjesweg,2518,Amsterdam Lelylaan Station,3350,Vijzelgracht,1890.0,7495.0,27 - 65 years (%),50312.9
sunday,0,0.0,0.0,0.0,0.0,Holendrecht_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Amsterdam Holendrecht Station,103,Station Holendrecht,0,Amsterdam Holendrecht Station,103,Station Holendrecht,0,Amsterdam Holendrecht Station,433,Station Holendrecht,0,Amsterdam Holendrecht Station,103,Reigersbos,1497.0,9506.0,27 - 65 years (%),39520.1
sunday,0,3.0,0.0,58.0,0.0,Hoofddorppleinbuurt_0,2.0,4.0,2.0,0.0,0.0,0.0,6.0,30.0,24.0,0.0,0.0,0.0,3.1666666666666665,0.0,19.791666666666668,0.0,Amsterdam Lelylaan Station,1722,Heemstedestraat,1204,Amsterdam Lelylaan Station,1759,Heemstedestraat,1126,Amsterdam Lelylaan Station,1690,Heemstedestraat,1126,Amsterdam Zuid Station,3112,Heemstedestraat,1255.0,11763.0,27 - 65 years (%),49035.6
