,Wijk,nearest_train_station_name_walking,nearest_train_station_distance_walking,nearest_metro_station_name_walking,nearest_metro_station_distance_walking,nearest_train_station_name_bicycling,nearest_train_station_distance_bicycling,nearest_metro_station_name_bicycling,nearest_metro_station_distance_bicycling,nearest_train_station_name_driving,nearest_train_station_distance_driving,nearest_metro_station_name_driving,nearest_metro_station_distance_driving,nearest_train_station_name_transit,nearest_train_station_distance_transit,nearest_metro_station_name_transit,nearest_metro_station_distance_transit
88,Stadionbuurt,Amsterdam Zuid Station,1380,Amstelveenseweg,853,Amsterdam Zuid Station,1766,Amstelveenseweg,944,Amsterdam Zuid Station,1635,Amstelveenseweg,1875,Amsterdam Zuid Station,1839,Amstelveenseweg,1094.0
89,Transvaalbuurt,Amsterdam Muiderpoort Station,1515,Wibautstraat,412,Amsterdam Muiderpoort Station,1863,Wibautstraat,412,Amsterdam Muiderpoort Station,1863,Wibautstraat,741,Amsterdam Muiderpoort Station,2077,Wibautstraat,412.0
90,Tuindorp Buiksloot,Amsterdam Centraal Station,2990,Noord,449,Amsterdam Centraal Station,3148,Noorderpark,1149,Amsterdam Muiderpoort Station,8603,Noord,599,Amsterdam Centraal Station,3100,Noord,449.0
91,Tuindorp Nieuwendam,Amsterdam Centraal Station,4200,Noord,1357,Amsterdam Centraal Station,5158,Noord,1800,Amsterdam Muiderpoort Station,6769,Noord,1325,Amsterdam Centraal Station,4842,Noord,1865.0
92,Tuindorp Oostzaan,Amsterdam Centraal Station,4379,Noorderpark,3249,Amsterdam Centraal Station,4915,Noorderpark,4077,Amsterdam Sloterdijk Station,8701,Noorderpark,3350,Amsterdam Centraal Station,5807,Noorderpark,4057.0
93,Van Galenbuurt,Amsterdam Sloterdijk Station,2381,Jan van Galenstraat,386,Amsterdam Lelylaan Station,3173,Jan van Galenstraat,1145,Amsterdam Sloterdijk Station,2482,Burg. De Vlugtlaan,1281,Amsterdam Sloterdijk Station,2650,Jan van Galenstraat,386.0
94,Van Lennepbuurt,Amsterdam Centraal Station,2812,Postjesweg,1732,Amsterdam Centraal Station,3243,Postjesweg,1738,Amsterdam Zuid Station,3776,Jan van Galenstraat,2250,Amsterdam Centraal Station,3209,Postjesweg,1904.0
95,Venserpolder,Amsterdam Duivendrecht Station,731,Venserpolder,0,Amsterdam Duivendrecht Station,862,Venserpolder,0,Amsterdam Duivendrecht Station,862,Venserpolder,0,Amsterdam Duivendrecht Station,731,Station Duivendrecht,731.0
96,Volewijck,Amsterdam Centraal Station,2538,Noorderpark,386,Amsterdam Centraal Station,2551,Noorderpark,389,Amsterdam Sloterdijk Station,12332,Noorderpark,254,Amsterdam Centraal Station,2418,Noorderpark,386.0
97,Vondelparkbuurt,Amsterdam Zuid Station,2815,Vijzelgracht,1412,Amsterdam Lelylaan Station,3349,Vijzelgracht,1606,Amsterdam Zuid Station,3243,Postjesweg,2477,Amsterdam Lelylaan Station,3263,Vijzelgracht,1780.0
98,Waterland,Amsterdam Centraal Station,8014,Noord,5311,Amsterdam Muiderpoort Station,6837,Noord,5520,Amsterdam Muiderpoort Station,6936,Noord,6259,Amsterdam Muiderpoort Station,6892,Noord,6385.0
99,Waterlandpleinbuurt,Amsterdam Centraal Station,5120,Noord,2147,Amsterdam Centraal Station,5860,Noord,2503,Amsterdam Muiderpoort Station,6208,Noord,2406,Amsterdam Centraal Station,5835,Noord,2664.0
